"categoria, categoriaml, marca, modelo, modelo2*?, modelo 3*?",Marca,Modelo,Categoría 1,CAT ML,Descripcion,Peso en Kg,peso c/ +,Pesado x mi,,Ancho,Largo (cm),Profundidad,Cod item (Rep),Precio USA,,Recauchitado viejo,Prioridad,Modelo2,Modelo3,TIPO,titulo viejo,Peso en Kg,Cant,CONTENIDO PAQUETE,,ESCRIBIR,LARGO,palabra clave 1,palabra clave 2,palabra clave 3,,Descrip corta 1,descrip corta 2,WEB OFICIAL,MANUAL,Origen,CODIGO ITEM,,,,Cat,cat 2,Sub categoria,Descripcion,,,,Categorias,Categorias INOVAMUSICNET
33,Tc Electronic,Nova System,Pedalera de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Pedalera de efectos p/ guitarra,"4,07",,SI,"0,02",36,31,14,33,270,339,33,A,,,Pedalera de efectos p/ guitarra,Tc Electronic Nova System - Pedalera de efectos guitarra,"4,13",#REF!,"(1) NOVA System
 (1) USA Plug Power Cable
 (1) Owners Manual",si,Tc electronic Nova System Pedalera Nueva cja cerrada c/ gtia,60,Nova System,,,Pedal de Efecto p/guitarra,,,http://www.tcelectronic.com/nova-system/,http://cdn-downloads.tcelectronic.com/media/218020/tc_electronic_nova_system_manual_spanish.pdf,Fabricado en Tailandia,33,Tc Electronic,Nova System,Tc Electronic Nova System,Guitarra y Bajo,,Pedalera de efecto p/ guitarra,Pedalera de efectos p/ guitarra,,,,,
48,Tc Electronic,Ditto Looper,Pedal de Efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Pedal de efectos p/ guitarra,"0,215",,SI,0,7,10,6,48,69,72,48,A,,,Pedal de efectos p/ guitarra,,"0,22",#REF!,"(1) TC-Electronic - Ditto Looper
 (2) Rubber Feet
 (1) Quickstart Guide",si,,,Ditto Looper,,,Pedal de Efecto p/guitarra,,,http://www.tcelectronic.com/ditto-looper/,http://cdn-downloads.tcelectronic.com/media/1633425/tc_ditto_looper_manual_spanish.pdf,Fabricado en Tailandia,48,Tc Electronic,Ditto Looper,Tc Electronic Ditto Looper,,,Pedal de Efecto p/ guitarra,Pedal de efectos p/ guitarra,,,,,
50,Tc Electronic,Polytune 2,Pedal de Efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Afinador Polifónico P/ Guitarra,"0,325",,SI,0,"8,5",13,"5,5",50,63,67,50,A,Poly tune II,,Afinador Polifónico P/ Guitarra,,"0,33",#REF!,"(1) TC Electronic PolyTune 2
 (2) Velcro Pads",si,,,Polytune 2,Poly tune II,,Pedal de Efecto p/guitarra,,,http://www.tcelectronic.com/polytune-2/,http://cdn-downloads.tcelectronic.com/media/2830616/tc_electronic_polytune_2_manual_spanish.pdf,Fabricado en Tailandia,50,Tc Electronic,Polytune 2,Tc Electronic Polytune 2,,,Pedal de Efecto p/ guitarra,Afinador Polifónico P/ Guitarra,,,,,
55,Tc Electronic,Flashback Delay & Looper,Pedal de Efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Pedal de efectos p/ guitarra,"0,405",,SI,0,"8,7","12,9","7,5",55,110,112,55,A,Flash Back delay,,Pedal de efectos p/ guitarra,,"0,41",#REF!,"(1) TC Electronic Flashback Delay
 (1) USB Cable
 (1) User's Manual",si,,,Flashback Delay & looper,,,Pedal de Efecto p/guitarra,,,http://www.tcelectronic.com/flashback-delay/,http://cdn-downloads.tcelectronic.com/media/216246/tc-electronic-flashback-delay-manual-spanish.pdf,Fabricado en Tailandia,55,Tc Electronic,Flashback Delay & Looper,Tc Electronic Flashback Delay & Looper,Voces,,Pedal de Efecto p/ guitarra,Pedal de efectos p/ guitarra,,,,,
56,Tc Electronic,Corona Chorus,Pedal de Efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Pedal de efectos p/ guitarra,"0,395",,SI,0,"8,5",13,"7,5",56,83,74,56,A,,,Pedal de efectos p/ guitarra,,"0,4",#REF!,"(1) TC Electronic Corona Chorus
 (1) USB Cable
 (1) 9-Volt Battery (Installed)
 (1) User's Manual",si,,,Corona Chorus,,,Pedal de Efecto p/guitarra,,,http://www.tcelectronic.com/corona-chorus/,http://cdn-downloads.tcelectronic.com/media/216390/tc-electronic-corona-chorus-manual-spanish.pdf,Fabricado en Tailandia,56,Tc Electronic,Corona Chorus,Tc Electronic Corona Chorus,Voces,,Pedal de Efecto p/ guitarra,Pedal de efectos p/ guitarra,,,,,
60,Tc Electronic,Polytune 2 Mini,Pedal de Efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Afinador Polifónico P/ Guitarra,"0,205",,SI,0,"6,5",10,6,60,58,65,60,A,Poly tune,,Afinador Polifónico P/ Guitarra,,"0,21",#REF!,(1) TC Electronic PolyTune 2 Mini,si,Tc electronic Polytune Mini Nuevo cja cerrada c/ gtia en arg,60,Polytune Mini,Poly tune Mini,,Pedal de Efecto p/guitarra,,,http://www.tcelectronic.com/polytune-mini/,http://cdn-downloads.tcelectronic.com/media/218214/tc-electronic-polytune-mini-manual-spanish.pdf,Fabricado en Tailandia,60,Tc Electronic,Polytune 2 Mini,Tc Electronic Polytune 2 Mini,Voces,,Pedal de Efecto p/ guitarra,Afinador Polifónico P/ Guitarra,,,,,
xx12,Tc Electronic,Hall of Fame Reverb,Pedal de Efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,,"0,405",,SI,0,"8,5",13,"7,5",xx12,93,95,xx12,,,,,,,#REF!,(1) TC Electronic Hall of Fame Reverb (1) USB Cable,si,,,,,,,,,,,,xx12,Tc Electronic,Hall of Fame Reverb,Tc Electronic Hall of Fame Reverb,Voces,,Pedal de Efecto p/ guitarra,,,,,,
xx15,Tc Electronic,Ditto Looper X2,Pedal de Efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,,"0,66",,SI,0,16,"13,5","6,5",xx15,112,121,xx15,,,,,,,#REF!,(1) TC Electronic Ditto X2 Looper(1) USB Cable,si,,,,,,,,,,,,xx15,Tc Electronic,Ditto Looper X2,Tc Electronic Ditto Looper X2,Voces,,Pedal de Efecto p/ guitarra,,,,,,
xx37,Tc Electronic,Flashback X4 Delay Looper,Pedal de Efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,,"1,53",,SI,0,"31,5","15,5",8,xx37,159,160,xx37,,,,,,,#REF!,(1) T.C. Electronic Flashback X4 (1) USB Cable(2) Rubber Feet(1) Manual,si,,,,,,,,,,,,xx37,Tc Electronic,Flashback X4 Delay Looper,Tc Electronic Flashback X4 Delay Looper,Recording,Vivo,Pedal de Efecto p/ guitarra,,,,,,
xx40,Tc Electronic,Dark Matter,Pedal de Efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,,"0,35",,SI,0,"8,5",13,"7,5",xx40,87,87,xx40,,,,,,,#REF!,"(1) Dark Matter Distortion
 (1) 9-Volt Battery (Installed)
 (1) User's Guide",si,,,,,,,,,,,,xx40,Tc Electronic,Dark Matter,Tc Electronic Dark Matter,Voces,,Pedal de Efecto p/ guitarra,,,,,,
xx56,Tc Electronic,Corona Chorus mini,Pedal de Efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,,"0,235",,SI,0,"6,5",10,6,xx56,75,80,xx56,,,,,,,#REF!,(1) TC Electronic Corona Mini Chorus Guitar Effects Pedal,si,,,,,,,,,,,,xx56,Tc Electronic,Corona Chorus mini,Tc Electronic Corona Chorus mini,Voces,,Pedal de Efecto p/ guitarra,,,,,,
xx61,Tc Electronic,G-Major 2,Pedalera de efecto p/ guitarra,,,"2,825",,SI,"0,02","28,4","56,5","11,9",xx61,355,355,xx61,,,,,,,#REF!,,,,,,,,,,,,,,xx61,Tc Electronic,G-Major 2,Tc Electronic G-Major 2,Voces,,Pedalera de efecto p/ guitarra,,,,,,
xx69,Tc Electronic,Flashback Mini Delay,Pedal de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,,"0,235",,SI,0,"6,5",10,6,xx69,61,79,xx69,,,,,,,#REF!,,,,,,,,,,,,,,xx69,Tc Electronic,Flashback Mini Delay,Tc Electronic Flashback Mini Delay,,,Pedal de efecto p/ guitarra,,,,,,
xx73,Tc Electronic,Hall of Fame Reverb Mini,Pedal de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,,"0,215",,SI,0,"6,5",10,"5,5",xx73,127,89,xx73,,,,,,,#REF!,,,,,,,,,,,,,,xx73,Tc Electronic,Hall of Fame Reverb Mini,Tc Electronic Hall of Fame Reverb Mini,,,Pedal de efecto p/ guitarra,,,,,,
mm9,Tc Electronic,Polytune 2 Black,,Electronica audio video otros,,,,,,,,,mm9,89,89,mm9,,,,,,,#REF!,,,,,,,,,,,,,,mm9,Tc Electronic,Polytune 2 Black,Tc Electronic Polytune 2 Black,,,,,,,,,
mm14,Tc Electronic,Polytune 2 Black,,Electronica audio video otros,,,,,,,,,mm14,0,,mm14,,,,,,,#REF!,,,,,,,,,,,,,,mm14,Tc Electronic,Polytune 2 Black,Tc Electronic Polytune 2 Black,,,,,,,,,
mm17,tc electronic,Rh450,,Electronica audio video otros,,6,,NO,,,,,mm17,365,365,mm17,,,,,,,#REF!,,,,,,,,,,,,,,mm17,tc electronic,Rh450,tc electronic Rh450,,,,,,,,,
xx17,Tc Helicon,Voicetone H1,Pedal de efecto p/ voces,Efectos de sonido - Instrumentos musicales,,"0,735",,SI,0,"16,5","14,5","8,5",xx17,89,89,xx17,,Voice tone H 1,,,,,#REF!,(1) TC-Helicon VoiceTone H1 (1) USB Cable(1) User's Manual,si,,,,,,,,,,,,xx17,Tc Helicon,Voicetone H1,Tc Helicon Voicetone H1,VAPORIZADOR,"fotografia, deporte y hogar",Pedal de efecto p/ voces,,,,,,
xx20,Tc Helicon,Voicetone R1 Reverb,Pedal de efecto p/ voces,Efectos de sonido - Instrumentos musicales,,"0,735",,SI,0,"16,5","14,5","8,5",xx20,91,91,xx20,,,,,,,#REF!,(1) TC-Helicon VoiceTone R1 (1) USB Cable(1) User's Manual,si,,,,,,,,,,,,xx20,Tc Helicon,Voicetone R1 Reverb,Tc Helicon Voicetone R1 Reverb,VAPORIZADOR,"fotografia, deporte y hogar",Pedal de efecto p/ voces,,,,,,
xx24,Tc Helicon,Voicetone D1,Pedal de efecto p/ voces,Efectos de sonido - Instrumentos musicales,,"0,735",,SI,0,"16,5","14,5","8,5",xx24,86,96,xx24,,Voice tone D 1,,,,,#REF!,(1) TC-Helicon VoiceTone D1 (1) USB Cable(1) User's Manual,si,,,,,,,,,,,,xx24,Tc Helicon,Voicetone D1,Tc Helicon Voicetone D1,Recording,Accesorios,Pedal de efecto p/ voces,,,,,,
xx25,Tc Helicon,Voicetone C1 Hardtune,Pedal de efecto p/ voces,Efectos de sonido - Instrumentos musicales,,"0,75",,SI,0,"16,5","14,5","8,5",xx25,103,103,xx25,,,,,,,#REF!,(1) TC-Helicon VoiceTone C1(1) USB Cable(1) User's Manual,si,,,,,,,,,,,,xx25,Tc Helicon,Voicetone C1 Hardtune,Tc Helicon Voicetone C1 Hardtune,Recording,,Pedal de efecto p/ voces,,,,,,
xx29,Tc Helicon,Voicetone T1 Adaptative tone,Pedal de efecto p/ voces,Efectos de sonido - Instrumentos musicales,,"0,735",,SI,0,"16,5","14,5","8,5",xx29,81,73,xx29,,,,,,,#REF!,(1) TC-Helicon VoiceTone T1 (1) USB Cable(1) User's Manual,si,,,,,,,,,,,,xx29,Tc Helicon,Voicetone T1 Adaptative tone,Tc Helicon Voicetone T1 Adaptative tone,Recording,,Pedal de efecto p/ voces,,,,,,
xx35,TC Helicon,Voicelive Touch,Procesador de efecto p/ voces,Efectos de sonido - Instrumentos musicales,,"2,23",,SI,"0,01",27,26,15,xx35,219,219,xx35,,,,,,,#REF!,,,,,,,,,,,,,,xx35,TC Helicon,Voicelive Touch,TC Helicon Voicelive Touch,Recording,,Procesador de efecto p/ voces,,,,,,
xx39,Tc Helicon,Voicetone E1,Pedal de efecto p/ voces,Efectos de sonido - Instrumentos musicales,,"0,735",,SI,0,"16,5","14,5","8,5",xx39,89,88,xx39,,,,,,,#REF!,(1) TC-Helicon VoiceTone E1 (1) USB Cable(1) User's Manual,si,,,,,,,,,,,,xx39,Tc Helicon,Voicetone E1,Tc Helicon Voicetone E1,Recording,,Pedal de efecto p/ voces,,,,,,
xx45,TC Helicon,VoiceTone Harmony G-XT,Pedal de efecto p/ voces,Efectos de sonido - Instrumentos musicales,,"1,26",,SI,0,,,,xx45,132,139,xx45,,,,,,,#REF!,"(1) Tc helicon Voicetone Harmony G-XT
 (1) USB cable
 (1) User guide",si,,,,,,,,,,,,xx45,TC Helicon,VoiceTone Harmony G-XT,TC Helicon VoiceTone Harmony G-XT,Recording,,Pedal de efecto p/ voces,,,,,,
xx50,Tc Helicon,Voicetone Mic Mechanic,Pedal de efecto p/ voces,Efectos de sonido - Instrumentos musicales,,"0,73",,SI,0,"16,5","14,5","8,5",xx50,103,113,xx50,,,,,,,#REF!,(1) TC Helicon Mic Mechanic (1) USB Cable(1) Manual,si,,,,,,,,,,,,xx50,Tc Helicon,Voicetone Mic Mechanic,Tc Helicon Voicetone Mic Mechanic,Recording,,Pedal de efecto p/ voces,,,,,,
xx81,TC Helicon,VoiceLive 3,,Electronica audio video otros,,"3,39",,SI,"0,02",51,27,"15,2",xx81,366,389,xx81,,,,,,,#REF!,"(1) Voicelive 3
 (1) USB cable
 (1) Quickstart guide
 (1) Guitar/Headphone combo cable",si,,,,,,,,,,,,xx81,TC Helicon,VoiceLive 3,TC Helicon VoiceLive 3,"fotografia, deporte y hogar",Recording,,,,,,,
mm13,TC Helicon,Harmony Singer,,Electronica audio video otros,,"0,75",,SI,0,,,,mm13,130,129,mm13,,,,,,,#REF!,"(1) Harmony singer
 (1) USB cable
 (1) User guide",si,,,,,,,,,,,,mm13,TC Helicon,Harmony Singer,TC Helicon Harmony Singer,Recording,Voces,,,,,,,
mm6,Tc Helicon,Voicelive Touch 2,,Electronica audio video otros,,3,,,,12,15,"19,2",mm6,327,330,mm6,,,,,,,#REF!,,,,,,,,,,,,,,mm6,Tc Helicon,Voicelive Touch 2,Tc Helicon Voicelive Touch 2,Recording,Accesorios,,,,,,,
mm15,Tc Helicon,Voicetone X1,,Electronica audio video otros,,"0,735",,SI,,"16,5","14,5","8,5",mm15,86,78,mm15,,,,,,,#REF!,(1) TC-Helicon VoiceTone X1(1) USB Cable(1) User's Manual,si,,,,,,,,,,,,mm15,Tc Helicon,Voicetone X1,Tc Helicon Voicetone X1,,,,,,,,,
mm18,Tc helicon,voicetone correct xt,,Electronica audio video otros,,"1,26",,NO,,,,,mm18,149,149,mm18,,,,,,,#REF!,,,,,,,,,,,,,,mm18,Tc helicon,voicetone correct xt,Tc helicon voicetone correct xt,,,,,,,,,
mm19,tc helicon,voicelive play,,Electronica audio video otros,,"1,325",,SI,,28,"16,7","8,3",mm19,160,"161,7",mm19,,,,,,,#REF!,,,,,,,,,,,,,,mm19,tc helicon,voicelive play,tc helicon voicelive play,,,,,,,,,
mm22,Tc helicon,Ditto Mic looper,,Electronica audio video otros,,"0,715",,SI,,"16,4","14,2","8,4",mm22,65,74,mm22,,,,,,,#REF!,,,,,,,,,,,,,,mm22,Tc helicon,Ditto Mic looper,Tc helicon Ditto Mic looper,,,,,,,,,
xx27,Trascend,Sd 16gb,Memoria SD,,,"0,01",,,0,11,13,1,xx27,,,xx27,,,,,,,#REF!,,,,,,,,,,,,,,xx27,Trascend,Sd 16gb,Trascend Sd 16gb,,,Memoria SD,,,,,,
57,Vapir,Filtros x60,Accesorios,,Repuestos Vaporizadores,"0,01",,SI,0,,,,57,0,,57,,,,Repuestos Vaporizadores,,"0,01",#REF!,,,,,,,,Accesorios,,,,,,57,Vapir,Filtros x60,Vapir Filtros x60,,,Accesorios,Repuestos Vaporizadores,,,,,
58,Vapir,Bateria,Accesorios,,Repuestos Vaporizadores,"0,1",,SI,0,,,,58,0,,58,,,,Repuestos Vaporizadores,,"0,1",#REF!,,,,,,,,Accesorios,,,,,,58,Vapir,Bateria,Vapir Bateria,,,Accesorios,Repuestos Vaporizadores,,,,,
xx13,Vapir,No2,Vaporizador,Vaporizador,Vaporizador,"0,66",,SI,0,26,17,"7,5",xx13,84,84,xx13,,No 2,,,,,#REF!,,,,,,,,,,,,,,xx13,Vapir,No2,Vapir No2,,,Vaporizador,Vaporizador,,,,,
xx48,Vapir,Rise 2.0,Vaporizador,Vaporizador,,"1,585",,SI,"0,01",19,23,18,xx48,195,195,xx48,,,,,,,#REF!,,,,,,,,,,,,,,xx48,Vapir,Rise 2.0,Vapir Rise 2.0,,,Vaporizador,,,,,,
34,Zoom,H2n Accesory Pack,Accesorios,,Pack de accesorios p/ Zoom h2n,"0,415",,SI,0,15,"15,5","9,5",34,0,,34,B,,,Pack de accesorios p/ Zoom h2n,Zoom H2N - Accessory pack,"0,42",#REF!,,,,,H2n Accesory Pack,,,Accesorios,,,,,Diseñado en Japón y Ensamblado en China,34,Zoom,H2n Accesory Pack,Zoom H2n Accesory Pack,,,Accesorios,Pack de accesorios p/ Zoom h2n,,,,,
35,Zoom,H1,Grabador digital Usb,Grabadores Portatiles,Grabador Digital Usb,"0,185",,SI,0,10,17,5,35,80,79,35,A,,,Grabador Digital Usb,Zoom H1 + Memoria Micro SD 2 GB,"0,19",#REF!,"(1) Zoom H1 Handy Recorder
 (1) 2GB Micro-SD Card
 (1) Manual",si,Zoom H1 / Grabador usb + sd 2gb + wavelab 7 c/ gtia en Arg!,59,h1,,,Grabador digital,,,http://www.zoom.co.jp/english/products/h1/,http://www.zoom.co.jp/download/S_H1.pdf,Diseñado en Japón y Ensamblado en China,35,Zoom,H1,Zoom H1,,,Grabador digital Usb,Grabador Digital Usb,,,,,
36,Zoom,H4n,Grabador digital Usb,Grabadores Portatiles,Grabador Digital Usb,"0,935",,SI,0,18,30,7,36,174,200,36,A,,,Grabador Digital Usb,Zoom h4n / Grabador Portatil 4 ch + sd 2gb + Protective case,"0,94",#REF!,"(1) Zoom H4n Recorder
 (1) 2GB SD Card
 (1) Wind Screen
 (1) Mic Clip Adapter
 (1) Protective Plastic Case
 (1) Cubase LE Software CD
 (1) USB Cable",si,Zoom H4n / Grabador usb + Sd 2gb + Protective case c/ gtia!,59,h4n,,,Grabador digital,,,http://www.zoom.co.jp/english/products/h4n/,http://www.zoom.co.jp/download/S_H4n.pdf,Diseñado en Japón y Ensamblado en China,36,Zoom,H4n,Zoom H4n,,,Grabador digital Usb,Grabador Digital Usb,,,,,
42,Zoom,H2n,Grabador digital Usb,Grabadores Portatiles,Grabador Digital Usb,"0,375",,SI,0,"14,9","15,5","6,8",42,159,159,42,A,H2 n,,Grabador Digital Usb,,"0,38",#REF!,"(1) Zoom H2n
 (1) Steinberg WaveLab LE7 Installation Disc
 (2) AA Batteries
 (1) 2GB SD Card
 (1) Operations Manual",si,Zoom H2n / Grabador usb + Sd 2gb + Wavelab 7 c/ gtia en Arg!,60,h2n,,,Grabador digital,,,http://www.zoom.co.jp/products/h2n,http://www.zoom.co.jp/download/S_H2n.pdf,Diseñado en Japón y Ensamblado en China,42,Zoom,H2n,Zoom H2n,,,Grabador digital Usb,Grabador Digital Usb,,,,,
xx4,Zoom,H5,Grabador digital Usb,Grabadores Portatiles,Grabador Digital Usb,"0,84",,SI,0,17,13,9,xx4,216,265,xx4,,,,,,,#REF!,"XYH-5 X/Y mic capsule, SD card (2GB), USB cable, Foam windscreen, Case, Operation manual, Steinberg Cubase LE software download, Steinberg WaveLab LE software download",si,,,,,,,,,,,,xx4,Zoom,H5,Zoom H5,,,Grabador digital Usb,Grabador Digital Usb,,,,,
xx5,Zoom,H6,Grabador digital Usb,Grabadores Portatiles,Grabador Digital Usb,"1,37",,SI,"0,01",21,27,9,xx5,327,334,xx5,,,,,,,#REF!,"(1) Zoom H6
 (1) XYH-6 X/Y mic capsule
 (1) MSH-6 MS mic capsule
 (1) 2GB SD Card
 (1) USB Cable
 (1) Foam Windscreen
 (1) Cubase LE Software
 (1) Protective Case
 (1) Manual",si,,,,,,,,,,,,xx5,Zoom,H6,Zoom H6,,,Grabador digital Usb,Grabador Digital Usb,,,,,
xx32,Zoom,Q2HD,Grabador digital Usb,Grabadores Portatiles,,"0,285",,SI,0,11,18,6,xx32,87,87,xx32,,,,,,,#REF!,(1) Zoom Q2hd (1) SD memory card (2GB),si,,,,,,,,,,,,xx32,Zoom,Q2HD,Zoom Q2HD,,,Grabador digital Usb,,,,,,
xx51,Zoom,Q4,Camara Fotografica,,,"0,42",,SI,0,"15,8","19,5","7,5",xx51,190,200,xx51,,,,,,,#REF!,"(1) Removable LCD unit, USB cable, Rechargable lithium ion (Li-Ion) battery (BT-02), (1) Hairy windscreen, (1) Hairy windscreen attachment screw, (1) User guide",si,,,,,,,,,,,,xx51,Zoom,Q4,Zoom Q4,,,Camara Fotografica,,,,,,
xx63,Zoom,iQ5,Microfono condenser,Electronica audio video otros,,"0,12",,SI,0,4,24,"4,7",xx63,89,89,xx63,,,,,,,#REF!,"(1) Zoom iQ5
 (1) Manual",si,,,,,,,,,,,,xx63,Zoom,iQ5,Zoom iQ5,,,Microfono condenser,,,,,,
