"categoria, categoriaml, marca, modelo, modelo2*?, modelo 3*?",Marca,Modelo,Categoría 1,CAT ML,Descripcion,Peso en Kg,peso c/ +,Pesado x mi,,Ancho,Largo (cm),Profundidad,Cod item (Rep),Precio USA,,Recauchitado viejo,Prioridad,Modelo2,Modelo3,TIPO,titulo viejo,Peso en Kg,Cant,CONTENIDO PAQUETE,,ESCRIBIR,LARGO,palabra clave 1,palabra clave 2,palabra clave 3,,Descrip corta 1,descrip corta 2,WEB OFICIAL,MANUAL,Origen,CODIGO ITEM,,,,Cat,cat 2,Sub categoria,Descripcion,,,,Categorias,Categorias INOVAMUSICNET
xx64,Zoom,SGH-6,Microfono condenser,Electronica audio video otros,,"0,26",,SI,0,"9,8","20,5",9,xx64,130,130,xx64,,,,,,,#REF!,,,,,,,,,,,,,,xx64,Zoom,SGH-6,Zoom SGH-6,,,Microfono condenser,,,,,,
xx72,Zoom,MS-50G MultiStomp,Pedal de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,,"0,535",,SI,0,"9,2","15,5","7,9",xx72,93,93,xx72,,,,,,,#REF!,,,,,,,,,,,,,,xx72,Zoom,MS-50G MultiStomp,Zoom MS-50G MultiStomp,,,Pedal de efecto p/ guitarra,,,,,,
mm7,Zoom,R8,,Electronica audio video otros,,"1,16",,SI,"0,01","34,5",21,"8,5",mm7,222,200,mm7,,,,,,,#REF!,"(1) Zoom R8
 (1) Operation manual 
 (1) 2GB SD card containing 500MB of drum loops from Big Fish Audio
 (1) USB cable
 (1) Steinberg Cubase LE software",si,,,,,,,,,,,,mm7,Zoom,R8,Zoom R8,,,,,,,,,
mm21,,M-audio Delta 1010Lt Placa de audio sonido pci 1010 lt !,,Electronica audio video otros,,,,,,,,,mm21,0,,mm21,,,,,,,#REF!,,,,,,,,,,,,,,mm21,0,M-audio Delta 1010Lt Placa de audio sonido pci 1010 lt !,M-audio Delta 1010Lt Placa de audio sonido pci 1010 lt !,,,,,,,,,
nn24,Akai,Mpd 32,,Electronica audio video otros,,"3,36",,,,48,38,"13,5",nn24,199,199,nn24,,,,,,,#REF!,,,,,,,,,,,,,,nn24,Akai,Mpd 32,Akai Mpd 32,,,,,,,,,
mm25,Numark,Mixtrack Edge,,Electronica audio video otros,,"1,245",,,,33,27,8,mm25,71,71,mm25,,,,,,,#REF!,,,,,,,,,,,,,,mm25,Numark,Mixtrack Edge,Numark Mixtrack Edge,,,,,,,,,
mm26,Tc Electronic,Nd-1 Nova delay,,,,"1,195",,,,"20,5","16,5","8,3",mm26,160,160,mm26,,,,,,,#REF!,,,,,,,,,,,,,,mm26,Tc Electronic,Nd-1 Nova delay,Tc Electronic Nd-1 Nova delay,,,,,,,,,
mm27,Motu,Microbook II,,,,"0,765",,,,"18,8","13,7","8,2",mm27,249,249,mm27,,,,,,,#REF!,,,,,,,,,,,,,,mm27,Motu,Microbook II,Motu Microbook II,,,,,,,,,
mm28,Shimano,Curado CU-300e,,,,"0,41",0,,,"16,2","12,5","8,3",mm28,213,203,mm28,,,,,,,#REF!,,,,,,,,,,,,,,mm28,Shimano,Curado CU-300e,Shimano Curado CU-300e,,,,,,,,,
mm29,Tascam,Us-366,,,,"0,78",,,,24,"20,5","10,5",mm29,150,150,mm29,,,,,,,#REF!,,,,,,,,,,,,,,mm29,Tascam,Us-366,Tascam Us-366,,,,,,,,,
mm30,Focusrite,Carlett 2pre,,,,"1,69",,,,26,25,10,mm30,500,500,mm30,,,,,,,#REF!,,,,,,,,,,,,,,mm30,Focusrite,Carlett 2pre,Focusrite Carlett 2pre,,,,,,,,,
mm31,Boss,VE-20,,,,"1,625",,SI,,"22,5","19,5","9,5",mm31,220,206,mm31,,,,,,,#REF!,,,,,,,,,,,,,,mm31,Boss,VE-20,Boss VE-20,,,,,,,,,
mm32,Sony,Hdr Cx405,,,,"0,465",,,,16,12,9,mm32,229,157,mm32,,,,,,,#REF!,,,,,,,,,,,,,,mm32,Sony,Hdr Cx405,Sony Hdr Cx405,,,,,,,,,
mm33,Arturia,Beatstep,,,,"1,13",,,,40,18,"6,5",mm33,69,69,mm33,,,,,,,#REF!,,,,,,,,,,,,,,mm33,Arturia,Beatstep,Arturia Beatstep,,,,,,,,,
mm34,Digitech,JML2 jamman delay stereo,,,,"1,44",,,,"25,2",19,"8,5",mm34,176,177,mm34,,,,,,,#REF!,,,,,,,,,,,,,,mm34,Digitech,JML2 jamman delay stereo,Digitech JML2 jamman delay stereo,,,,,,,,,
mm35,Akai,Apc Mini,,,,"1,205",,,,38,29,"11,5",mm35,67,67,mm35,,,,,,,#REF!,,,,,,,,,,,,,,mm35,Akai,Apc Mini,Akai Apc Mini,,,,,,,,,
mm36,Art,Dj pre II,,,,"0,73",,,,20,37,"6,5",mm36,45,45,mm36,,,,,,,#REF!,,,,,,,,,,,,,,mm36,Art,Dj pre II,Art Dj pre II,,,,,,,,,
mm37,Mxr,M80 Bass D.i.,,,,"0,81",,SI,,"14,2","11,2","6,6",mm37,119,119,mm37,,,,,,,#REF!,,,,,,,,,,,,,,mm37,Mxr,M80 Bass D.i.,Mxr M80 Bass D.i.,,,,,,,,,
mm38,Tc Electronic,Vortex Flanger,,,,"0,405",,,,9,13,"7,5",mm38,103,103,mm38,,,,,,,#REF!,,,,,,,,,,,,,,mm38,Tc Electronic,Vortex Flanger,Tc Electronic Vortex Flanger,,,,,,,,,
mm39,tc electronic,spark mini,,,,"0,19",,,,"6,5",10,"5,5",mm39,63,63,mm39,,,,,,,#REF!,,,,,,,,,,,,,,mm39,tc electronic,spark mini,tc electronic spark mini,,,,,,,,,
mm40,Fenix,Ld75-c,,,,"0,58",,,,12,21,"8,5",mm40,220,220,mm40,,,,,,,#REF!,,,,,,,,,,,,,,mm40,Fenix,Ld75-c,Fenix Ld75-c,,,,,,,,,
mm41,Tascam,Us 16x08,,,,"3,8",,,,"54,5","28,7","12,5",mm41,238,200,mm41,,,,,,,#REF!,,,,,,,,,,,,,,mm41,Tascam,Us 16x08,Tascam Us 16x08,,,,,,,,,
mm42,Arturia,Minilab,,,,"1,435",,SI,,"41,5",23,8,mm42,89,89,mm42,,,,,,,#REF!,,,,,,,,,,,,,,mm42,Arturia,Minilab,Arturia Minilab,,,,,,,,,
mm43,Presonus,Audiobox usb,,,,,,,,,,,mm43,88,88,mm43,,,,,,,#REF!,,,,,,,,,,,,,,mm43,Presonus,Audiobox usb,Presonus Audiobox usb,,,,,,,,,
mm44,Focusrite,Saffire Pro 14,,,,"2,185",,,,"31,5","26,5","11,5",mm44,199,199,mm44,,,,,,,#REF!,,,,,,,,,,,,,,mm44,Focusrite,Saffire Pro 14,Focusrite Saffire Pro 14,,,,,,,,,
mm45,Focusrite,Saffire Pro 26,,,,"2,825",3,,,46,26,"9,5",mm45,220,300,mm45,,,,,,,#REF!,,,,,,,,,,,,,,mm45,Focusrite,Saffire Pro 26,Focusrite Saffire Pro 26,,,,,,,,,
mm46,Zoom,R16,,,,"2,06",,,,46,26,"7,2",mm46,333,300,mm46,,,,,,,#REF!,,,,,,,,,,,,,,mm46,Zoom,R16,Zoom R16,,,,,,,,,
mm47,Focusrite,Isa One,,,,"5,175",,,,40,37,"21,6",mm47,380,380,mm47,,,,,,,#REF!,,,,,,,,,,,,,,mm47,Focusrite,Isa One,Focusrite Isa One,,,,,,,,,
mm48,Motu,Track 16,,,,"2,77",,,,"38,2",29,14,mm48,400,400,mm48,,,,,,,#REF!,,,,,,,,,,,,,,mm48,Motu,Track 16,Motu Track 16,,,,,,,,,
mm49,Novation,Lauchpad Pro,,,,"2,21",,,,34,"31,5","8,6",mm49,225,225,mm49,,,,,,,#REF!,,,,,,,,,,,,,,mm49,Novation,Lauchpad Pro,Novation Lauchpad Pro,,,,,,,,,
mm50,TC Helicon,Play acoustic,,,,"1,36",,,,"27,8","16,5","8,4",mm50,209,208,mm50,,,,,,,#REF!,,,,,,,,,,,,,,mm50,TC Helicon,Play acoustic,TC Helicon Play acoustic,,,,,,,,,
mm51,Senheiser,XSW 35-A B,,,,"1,95",,,,35,"34,5","8,5",mm51,400,400,mm51,,,,,,,#REF!,,,,,,,,,,,,,,mm51,Senheiser,XSW 35-A B,Senheiser XSW 35-A B,,,,,,,,,
mm52,Tc electronic,Ditto looper Stereo,,,,"0,38",,,,"8,7",13,"7,5",mm52,89,100,mm52,,,,,,,#REF!,,,,,,,,,,,,,,mm52,Tc electronic,Ditto looper Stereo,Tc electronic Ditto looper Stereo,,,,,,,,,
mm53,Sony,HDR-AS20,,,,"0,47",,SI,,13,"16,4","7,7",mm53,117,139,mm53,,,,,,,#REF!,,,,,,,,,,,,,,mm53,Sony,HDR-AS20,Sony HDR-AS20,,,,,,,,,
mm54,Panasonic,Hx A500,,,,"0,545",,,,"19,5","14,4","9,9",mm54,240,240,mm54,,,,,,,#REF!,,,,,,,,,,,,,,mm54,Panasonic,Hx A500,Panasonic Hx A500,,,,,,,,,
mm55,Electro Harmonix,B9 Organ,,,,"0,655",,,,"15,5","18,5","8,2",mm55,179,179,mm55,,,,,,,#REF!,,,,,,,,,,,,,,mm55,Electro Harmonix,B9 Organ,Electro Harmonix B9 Organ,,,,,,,,,
mm56,Electro Harmonix,Memory Toy Delay,,,,"0,375",,,,"8,6","14,5","7,4",mm56,110,110,mm56,,,,,,,#REF!,,,,,,,,,,,,,,mm56,Electro Harmonix,Memory Toy Delay,Electro Harmonix Memory Toy Delay,,,,,,,,,
mm57,Boss,Rc3,,,,"0,62",,SI,,"9,2","14,2","7,2",mm57,140,140,mm57,,,,,,,#REF!,,,,,,,,,,,,,,mm57,Boss,Rc3,Boss Rc3,,,,,,,,,
mm58,Tc Electronic,Rottweiler,,,,"0,355",,,,"8,7",13,"7,4",mm58,125,125,mm58,,,,,,,#REF!,,,,,,,,,,,,,,mm58,Tc Electronic,Rottweiler,Tc Electronic Rottweiler,,,,,,,,,
mm59,Zoom,UAc2,,,,"1,07",,,,24,"17,2","7,7",mm59,200,230,mm59,,,,,,,#REF!,,,,,,,,,,,,,,mm59,Zoom,UAc2,Zoom UAc2,,,,,,,,,
mm60,Beheringer,U-Phoria UMC204,,,,"0,865",,SI,,27,16,9,mm60,142,142,mm60,,,,,,,#REF!,,,,,,,,,,,,,,mm60,Beheringer,U-Phoria UMC204,Beheringer U-Phoria UMC204,,,,,,,,,
mm61,Mackie,Big Knob,,http://media.djmania.net/images/extra/Mackie_Big_Knob.jpg,,"3,605",,,,"46,5",23,"13,7",mm61,205,205,mm61,,,,,,,#REF!,,,,,,,,,,,,,,mm61,Mackie,Big Knob,Mackie Big Knob,,,,,,,,,
mm62,Tc electronic,Bh 250,,http://cdn.mos.musicradar.com/images/Product%20News/Guitar/july12/summer-namm-2012/tc-electronic-bh250-460-100-970-80.jpg,,"2,56",,,,"36,4","29,2","12,4",mm62,211,218,mm62,,,,,,,#REF!,,,,,,,,,,,,,,mm62,Tc electronic,Bh 250,Tc electronic Bh 250,,,,,,,,,
mm63,Tc helicon,play electric,,http://www.ziomusic.it/files/2014/12/B_TCH_playelectric.jpg,,"1,33",,,,28,"16,5","8,3",mm63,209,240,mm63,,,,,,,#REF!,,,,,,,,,,,,,,mm63,Tc helicon,play electric,Tc helicon play electric,,,,,,,,,
mm64,Akg,Wms 40 pro mini,,http://www.drumpower.com.au/ebay/images/AKG/wms40_mini_sml.jpg,,"1,135",,,,"29,5",24,"6,5",mm64,85,85,mm64,,,,,,,#REF!,,,,,,,,,,,,,,mm64,Akg,Wms 40 pro mini,Akg Wms 40 pro mini,,,,,,,,,
mm65,Korg,pb04 pitchblack,,http://cdns3.gear4music.com/media/6/62225/1200/preview.jpg,,"0,34",,,,"8,5",20,"4,5",mm65,50,50,mm65,,,,,,,#REF!,,,,,,,,,,,,,,mm65,Korg,pb04 pitchblack,Korg pb04 pitchblack,,,,,,,,,
mm66,Tc electronic,spark booster,,https://www.gpanagopoulos.com/eshop/images/detailed_images/spark.jpg,,"0,355",,,,"8,5","12,7","7,5",mm66,81,95,mm66,,,,,,,#REF!,,,,,,,,,,,,,,mm66,Tc electronic,spark booster,Tc electronic spark booster,,,,,,,,,
mm67,Tascam,Dr-70D,,http://www.falcofilms.com/uploadsSystem/shopping/files/images/nThmGecB7F.jpg,,"0,875",,,,21,27,11,mm67,244,230,mm67,,,,,,,#REF!,,,,,,,,,,,,,,mm67,Tascam,Dr-70D,Tascam Dr-70D,,,,,,,,,
mm68,Alesis,Samplepad pro,,#N/A,,"3,25",,,,43,36,"9,3",mm68,255,255,mm68,,,,,,,#REF!,,,,,,,,,,,,,,mm68,Alesis,Samplepad pro,Alesis Samplepad pro,,,,,,,,,
mm69,GoPro,Hero 4 Session,,http://gadgetsmexico.mx/wp-content/uploads/2015/07/goprosession.jpg,,"0,455",,,,"10,7",25,6,mm69,255,192,mm69,,,,,,,#REF!,,,,,,,,,,,,,,mm69,GoPro,Hero 4 Session,GoPro Hero 4 Session,,,,,,,,,
mm70,Mxr,M193,,http://medias.audiofanzine.com/images/normal/mxr-m193-gt-od-overdrive-565051.jpg,,"0,55",,,,"14,2","11,2","6,5",mm70,95,89,mm70,,,,,,,#REF!,,,,,,,,,,,,,,mm70,Mxr,M193,Mxr M193,,,,,,,,,
mm71,Mxr,M102,,http://www.bhphotovideo.com/images/images1000x1000/mxr_m10217607_m102_dyna_comp_1171290.jpg,,"0,56",,,,"14,2","11,2","6,5",mm71,74,74,mm71,,,,,,,#REF!,,,,,,,,,,,,,,mm71,Mxr,M102,Mxr M102,,,,,,,,,
mm72,Mxr,M81,,http://www.waltons.ie/res/?s=MDZCRFVOLU04MS5qcGd8cHJvZHVjdHMuem9vbXxpbWFnZXxpbWFnZQ%3D%3D&ext=.jpg,,"0,43",,,,"14,2","11,2","6,5",mm72,149,149,mm72,,,,,,,#REF!,,,,,,,,,,,,,,mm72,Mxr,M81,Mxr M81,,,,,,,,,
mm73,Mxr,M87,,http://www.fimportchile.cl/tienda/image/data/MXR/MXR-M87-Bass-Compressor-big.png,,"0,435",,,,"14,2","11,2","6,5",mm73,172,162,mm73,,,,,,,#REF!,,,,,,,,,,,,,,mm73,Mxr,M87,Mxr M87,,,,,,,,,
mm74,Isp,Decimator II,,http://www.bestguitareffects.com/wp-content/uploads/Boss-NS-2-Noise-Suppressor-Review-Best-Guitar-Noise-Gate-Pedal-06.jpg,,"0,81",,,,"9,2","14,2","6,7",mm74,227,227,mm74,,,,,,,#REF!,,,,,,,,,,,,,,mm74,Isp,Decimator II,Isp Decimator II,,,,,,,,,
mm75,Xotic effects,Ep Booster,,http://www.musik-produktiv.co.uk/pic-010059322_02xl/xotic-ep-booster_02xl.jpg,,"0,375",,,,"7,7",14,"6,8",mm75,92,105,mm75,,,,,,,#REF!,,,,,,,,,,,,,,mm75,Xotic effects,Ep Booster,Xotic effects Ep Booster,,,,,,,,,
mm76,Tascam,Us-144 Mkii,,http://tascam.com/content/images/universal/products/205/main.jpg,,"1,13",,,,"24,3","20,2","10,4",mm76,100,100,mm76,,,,,,,#REF!,,,,,,,,,,,,,,mm76,Tascam,Us-144 Mkii,Tascam Us-144 Mkii,,,,,,,,,
mm77,Tc electronic,Ditto Looper x4,,http://ww2.sonicftp.com/news/images/26466_919.jpg,,"1,54",,,,"31,2","15,5","8,1",mm77,186,193,mm77,,,,,,,#REF!,,,,,,,,,,,,,,mm77,Tc electronic,Ditto Looper x4,Tc electronic Ditto Looper x4,,,,,,,,,
mm78,Electro Harmonix,Big Muff Deluxe Bass,,http://www.ehx.com/assets/jpg640h/deluxe-bass-big-muff-pi.jpg,,"0,71",,,,"18,5","15,6","7,7",mm78,121,121,mm78,,,,,,,#REF!,,,,,,,,,,,,,,mm78,Electro Harmonix,Big Muff Deluxe Bass,Electro Harmonix Big Muff Deluxe Bass,,,,,,,,,
mm79,Ebow,Ebow plus,,"http://c1.zzounds.com/media/fit,2018by3200/quality,85/EBowPic300x300_done-271aed62a2d6e985b4a18e4b1a41adf5.jpg",,"0,765",,,,10,"9,5","5,1",mm79,100,100,mm79,,,,,,,#REF!,,,,,,,,,,,,,,mm79,Ebow,Ebow plus,Ebow Ebow plus,,,,,,,,,
mm80,Tech 21,SansAmp Programable bass Driver DI,,http://www.rainbowguitars.com/imagesproduct/te/tepbdr-xl-05.jpg,,"0,845",,,,"21,4",15,"6,1",mm80,176,180,mm80,,,,,,,#REF!,,,,,,,,,,,,,,mm80,Tech 21,SansAmp Programable bass Driver DI,Tech 21 SansAmp Programable bass Driver DI,,,,,,,,,
mm81,Zoom,MS-60B MultiStomp,,http://www.citymusic.com.sg/webshaper/pcm/pictures/Zoom/MS-60B/zoom_MS-60B_top_lrg.jpg,,,,,,,,,mm81,90,89,mm81,,,,,,,#REF!,,,,,,,,,,,,,,mm81,Zoom,MS-60B MultiStomp,Zoom MS-60B MultiStomp,,,,,,,,,
mm82,Native Instruments,Komplete audio 6,,"http://images.samash.com/sa/N21/N21066XXX-P.fpx?cell=780,500&qlt=90&cvt=jpg",,"0,5",,NO,,,,,mm82,210,210,mm82,,,,,,,#REF!,,,,,,,,,,,,,,mm82,Native Instruments,Komplete audio 6,Native Instruments Komplete audio 6,,,,,,,,,
mm83,Tc Electronic,Shaker mini vibrato,,http://www.music-expert.ru/published/publicdata/WEBASYST/attachments/SC/products_pictures/big/MI-1404395060-TC%20ELECTRONIC%20Shaker%20Mini%20Vibrato.jpg,,"0,215",,NO,,,,,mm83,73,72,mm83,,,,,,,#REF!,,,,,,,,,,,,,,mm83,Tc Electronic,Shaker mini vibrato,Tc Electronic Shaker mini vibrato,,,,,,,,,
mm84,Korg,MicroKey2 49,,0,,,,,,,,,mm84,108,108,mm84,,,,,,,#REF!,,,,,,,,,,,,,,mm84,Korg,MicroKey2 49,Korg MicroKey2 49,,,,,,,,,
mm85,Allwinner,1280x800 High Resolution HD 15,,http://i.ebayimg.com/images/g/WXAAAOSwuTxWBKis/s-l1600.jpg,,"0,3",,NO,,,,,mm85,85,84,mm85,,,,,,,#REF!,,,,,,,,,,,,,,mm85,Allwinner,1280x800 High Resolution HD 15,Allwinner 1280x800 High Resolution HD 15,,,,,,,,,
mm86,Zoom,Q8,,http://www.bax-shop.nl/images/ZOOM_Q8_nieuws.jpg,,"1,5",,,,,,,mm86,334,336,mm86,,,,,,,#REF!,,,,,,,,,,,,,,mm86,Zoom,Q8,Zoom Q8,,,,,,,,,
mm87,Garmin,Forerunner 310XT,,http://www.flowbikestore.com/image/data/Garmin/garmin_forunner_310XT_768%20con%20logo.jpg,,"0,4",,NO,,,,,mm87,94,155,mm87,,,,,,,#REF!,,,,,,,,,,,,,,mm87,Garmin,Forerunner 310XT,Garmin Forerunner 310XT,,,,,,,,,
mm88,Tech 21,SansAmp GT2,,http://media.guitarcenter.com/is/image/MMGS7/SansAmp-GT2-Tube-Amp-Emulator/480208000000000-00-500x500.jpg,,,,,,,,,mm88,155,,mm88,,,,,,,#REF!,,,,,,,,,,,,,,mm88,Tech 21,SansAmp GT2,Tech 21 SansAmp GT2,,,,,,,,,
mm89,TC Helicon,Mp-75,,https://news.musicstore.de/wp-content/uploads/2010/11/TC_MP_800.jpg,,1,,,,,,,mm89,70,69,mm89,,,,,,,#REF!,,,,,,,,,,,,,,mm89,TC Helicon,#¡REF!,TC Helicon Mp-75,,,,,,,,,
mm90,Mxr,M169,,http://static.musicroom.com/img/c/f/M169.jpg,,"0,58",,,,,,,mm90,92,169,mm90,,,,,,,#REF!,,,,,,,,,,,,,,mm90,Mxr,Mp-75,Xotic effects Ep Booster,,,,,,,,,
mm91,Gopro,Hero 4 Music Black,,https://s-media-cache-ak0.pinimg.com/736x/a8/93/85/a893855b53824101a62e5d8826d56e6b.jpg,,"0,75",,,,,,,mm91,401,399,mm91,,,,,,,#REF!,,,,,,,,,,,,,,mm91,Gopro,M169,Gopro Hero 4 Music Black,,,,,,,,,
xxx-3,Rode,Nt Usb,,,,2,,,,,,,xxx-3,141,140,xxx-3,,,,,,,#REF!,,,,,,,,,,,,,,xxx-3,Rode,Nt Usb,Rode Nt Usb,,,,,,,,,
,,,,,,,,,,,,,,0,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,0,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,94,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,Garmin Forerunner 310XT,,,,,,,,,
,,mm31,,,,,,,,,,,,0,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,mm31,Tech 21 Tech 21 SansAmp GT2,,,,,,,,,
,,xx34,,,,,,,,,,,,70,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,xx34,TC Helicon Mp-75,,,,,,,,,
,,xx68,,,,,,SI,,,,,,123,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,xx68,Mxr M169,,,,,,,,,
,,mm37,,,,,,,,,,,,401,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,mm37,Gopro Hero 4 Music Black,,,,,,,,,
,,mm3,,,,,,,,,,,,0,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,mm3,mm3,,,,,,,,,
,,43,,,,,,,,,,,,0,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,43,43,,,,,,,,,
,,xx21,,,,,,,,,,,,0,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,xx21,xx21,,,,,,,,,
,,mm7,,,,,,,,,,,,0,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,mm7,mm7,,,,,,,,,
,Tascam,Dr-60 Mkii,,,,"0,875",,NO,,,,,,177,179,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Tascam,Dr-60 Mkii,Tascam Dr-60 Mkii,,,,,,,,,
,Korg,Electribe 2,,,,"3,1",,NO,,,,,,321,319,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Korg,Electribe 2,Korg Electribe 2,,,,,,,,,
,,,,,,"0,4",,NO,,,,,,48,48,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Sjcam,Sj4000 Wifi,,,,,,,,,,
,Eventide,Timefactor,,,,"2,5",,,,,,,,342,341,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Shimano,Corvalus 401,Eventide Timefactor,,,,,,,,,
,Sjcam,Sj4000 Wifi,,,,1,,,,,,,,71,70,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Bose,Soundlink mini II,Sjcam Sj4000 Wifi,,,,,,,,,
,Shimano,Corvalus 401,,,,"1,3",,,,,,,,77,76,0,,,,,,,#REF!,,,,,,,,,,,,,,0,#¡REF!,#¡REF!,Shimano Corvalus 401,,,,,,,,,
,Bose,Soundlink mini II,,,,"1,6",,,,,,,,188,187,0,,,,,,,#REF!,,,,,,,,,,,,,,0,#¡REF!,#¡REF!,Bose Soundlink mini II,,,,,,,,,
,Bose,SoundLink On ear,,,,"1,5",,,,,,,,227,226,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Bose,SoundLink On ear,Bose SoundLink On ear,,,,,,,,,
,Petzi,Treat Cam,,,,2,,,,,,,,165,164,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Petzi,Treat Cam,Petzi Treat Cam,,,,,,,,,
,Roland,Bt-1,,,,1,,,,,,,,85,84,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Roland,Bt-1,Roland Bt-1,,,,,,,,,
,IRIScan,Anywhere 3 Wifi,,,,1,,,,,,,,142,141,0,,,,,,,#REF!,,,,,,,,,,,,,,0,IRIScan,Anywhere 3 Wifi,IRIScan Anywhere 3 Wifi,,,,,,,,,
,Novation,Launchpad Mkii,,,,"1,3",,,,,,,,151,150,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Novation,Launchpad Mkii,Novation Launchpad Mkii,,,,,,,,,
,Tc Helicon,Voicetone Create Xt,,,,"1,3",,,,,,,,154,153,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Tc Helicon,Voicetone Create Xt,Tc Helicon Voicetone Create Xt,,,,,,,,,
,Pebble,Time watch,,,,"0,5",,,,,,,,#N/A,#N/A,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Pebble,Time watch,Pebble Time watch,,,,,,,,,
,Mxr,M108 Eq,,,,"0,8",,,,,,,,122,121,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Mxr,M108 Eq,Mxr M108 Eq,,,,,,,,,
,Mxr,M116 Fullbore Metal,,,,"0,8",,,,,,,,86,85,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Mxr,M116 Fullbore Metal,Mxr M116 Fullbore Metal,,,,,,,,,
