"categoria, categoriaml, marca, modelo, modelo2*?, modelo 3*?",Marca,Modelo,Categoría 1,CAT ML,Descripcion,Peso en Kg,peso c/ +,Pesado x mi,,Ancho,Largo (cm),Profundidad,Cod item (Rep),Precio USA,,Recauchitado viejo,Prioridad,Modelo2,Modelo3,TIPO,titulo viejo,Peso en Kg,Cant,CONTENIDO PAQUETE,,ESCRIBIR,LARGO,palabra clave 1,palabra clave 2,palabra clave 3,,Descrip corta 1,descrip corta 2,WEB OFICIAL,MANUAL,Origen,CODIGO ITEM,,,,Cat,cat 2,Sub categoria,Descripcion,,,,Categorias,Categorias INOVAMUSICNET
,Mxr,M89 Bass Overdrive,,,,"0,8",,,,,,,,131,130,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Mxr,M89 Bass Overdrive,Mxr M89 Bass Overdrive,,,,,,,,,
,Mxr,M101 Phase 90,,,,"0,6",,,,,,,,72,71,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Mxr,M101 Phase 90,Mxr M101 Phase 90,,,,,,,,,
,Mxr,M133 Micro Amp,,,,"0,7",,,,,,,,80,79,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Mxr,M133 Micro Amp,,,,,,,,,,
,Zoom,B3,,,,"1,5",,,,,,,,167,166,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Zoom,B3,,,,,,,,,,
,Zoom,G3x,,,,2,,,,,,,,171,170,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Zoom,G3x,,,,,,,,,,
,Sennheiser,Hd 201,,,,,,,,,,,,1,0,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Sennheiser,Hd 201,,,,,,,,,,
,Beheringer,U-Phoria UMC202,,,,"1,4",,,,,,,,61,60,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Beheringer,U-Phoria UMC202,,,,,,,,,,
,Cry Baby,S359,,,,2,,,,,,,,#N/A,#N/A,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Cry Baby,S359,,,,,,,,,,
,Vox,Delaylab,,,,"1,5",,,,,,,,219,216,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Vox,Delaylab,,,,,,,,,,
,Native instruments,Traktor kontrol S2,,,,3,,,,,,,,370,369,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Native instruments,Traktor kontrol S2,,,,,,,,,,
,Presonus,Audiobox Itwo,,,,"1,5",,,,,,,,128,128,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Presonus,Audiobox Itwo,,,,,,,,,,
,,,,,,,,,,,,,,0,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,Zoom,R24,,,,3,,,,,,,,400,325,0,,,,,,,#REF!,,,,,,,,,,,,,,0,Zoom,R24,,,,,,,,,,
,,,,,,,,,,,,,,0,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,"0,3",,,,,,,,49,47,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,"1,5",,,,,,,,146,145,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,0,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
xxx-1,Eventide,Timefactor Twin Delay,,,,,,,,,,,xxx-1,0,,xxx-1,,,,,,,#REF!,,,,,,,,,,,,,,xxx-1,Eventide,Timefactor Twin Delay,,,,,,,,,,
xxx-2,Boss,Md-2,,,,,,,,,,,xxx-2,50,,xxx-2,,,,,,,#REF!,,,,,,,,,,,,,,xxx-2,Boss,Md-2,,,,,,,,,,
xxx-10,Shimano,Corvalus 401,,,,,,,,,,,xxx-10,77,,xxx-10,,,,,,,#REF!,,,,,,,,,,,,,,xxx-10,Shimano,Corvalus 401,,,,,,,,,,
xxx-12,Bose,SoundLink On ear,,,,,,,,,,,xxx-12,227,,xxx-12,,,,,,,#REF!,,,,,,,,,,,,,,xxx-12,Bose,SoundLink On ear,,,,,,,,,,
xxx-13,Petzi,Treat Cam,,,,,,,,,,,xxx-13,0,,xxx-13,,,,,,,#REF!,,,,,,,,,,,,,,xxx-13,Petzi,Treat Cam,,,,,,,,,,
xxx-15,IRIScan,Anywhere 3 usb,,,,,,,,,,,xxx-15,0,,xxx-15,,,,,,,#REF!,,,,,,,,,,,,,,xxx-15,IRIScan,Anywhere 3 usb,,,,,,,,,,
xxx-18,,,,,,,,,,,,,xxx-18,0,,xxx-18,,,,,,,#REF!,,,,,,,,,,,,,,xxx-18,0,0,,,,,,,,,,
xxx-19,Mxr,M108 Eq,,,,,,,,,,,xxx-19,0,,xxx-19,,,,,,,#REF!,,,,,,,,,,,,,,xxx-19,Mxr,M108 Eq,,,,,,,,,,
xxx-20,Mxr,M116 Fullbore Metal,,,,,,,,,,,xxx-20,0,,xxx-20,,,,,,,#REF!,,,,,,,,,,,,,,xxx-20,Mxr,M116 Fullbore Metal,,,,,,,,,,
xxx-21,Mxr,M89 Bass Overdrive,,,,,,,,,,,xxx-21,0,,xxx-21,,,,,,,#REF!,,,,,,,,,,,,,,xxx-21,Mxr,M89 Bass Overdrive,,,,,,,,,,
xxx-24,Zoom,B3,,,,,,,,,,,xxx-24,0,,xxx-24,,,,,,,#REF!,,,,,,,,,,,,,,xxx-24,Zoom,B3,,,,,,,,,,
xxx-26,,,,,,,,,,,,,xxx-26,0,,xxx-26,,,,,,,#REF!,,,,,,,,,,,,,,xxx-26,0,0,,,,,,,,,,
xxx-27,Beheringer,U-Phoria UMC202,,,,,,,,,,,xxx-27,0,,xxx-27,,,,,,,#REF!,,,,,,,,,,,,,,xxx-27,Beheringer,U-Phoria UMC202,,,,,,,,,,
xxx-30,Native instruments,Traktor kontrol S2 Mkii,,,,,,,,,,,xxx-30,0,,xxx-30,,,,,,,#REF!,,,,,,,,,,,,,,xxx-30,Native instruments,Traktor kontrol S2 Mkii,,,,,,,,,,
xxx-35,GoPro,Hero 4 Black Refubrished,,,,,,,,,,,xxx-35,0,,xxx-35,,,,,,,#REF!,,,,,,,,,,,,,,xxx-35,GoPro,Hero 4 Black Refubrished,,,,,,,,,,
xxx-36,Boss,Mt2,,,,,,,,,,,xxx-36,0,,xxx-36,,,,,,,#REF!,,,,,,,,,,,,,,xxx-36,Boss,Mt2,,,,,,,,,,
xxx-37,Keith McMillen,SoftStep 2,,,,,,,,,,,xxx-37,0,,xxx-37,,,,,,,#REF!,,,,,,,,,,,,,,xxx-37,Keith McMillen,SoftStep 2,,,,,,,,,,
xxx-38,Hotone,Skyline Series WALLY Looper Mini,,,,,,,,,,,xxx-38,0,,xxx-38,,,,,,,#REF!,,,,,,,,,,,,,,xxx-38,Hotone,Skyline Series WALLY Looper Mini,,,,,,,,,,
xxx-9,Sjcam,Sj4000 Wifi,,,,,,,,,,,xxx-9,,,xxx-9,,,,,,,#REF!,,,,,,,,,,,,,,xxx-9,Sjcam,Sj4000 Wifi,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,xxx-1,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,xxx-2,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,xxx-10,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,xxx-12,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,xxx-13,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,xxx-14,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,xxx-15,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,
